date,price
2023-01-01,0.2499
2023-01-02,0.2538
2023-01-03,0.2529
2023-01-04,0.2678
2023-01-05,0.2692
2023-01-06,0.2786
2023-01-07,0.2768
2023-01-08,0.2974
2023-01-09,0.3168
2023-01-10,0.3222
2023-01-11,0.323
2023-01-12,0.3293
2023-01-13,0.3456
2023-01-14,0.3525
2023-01-15,0.3507
2023-01-16,0.3504
2023-01-17,0.3455
2023-01-18,0.3264
2023-01-19,0.3379
2023-01-20,0.3652
2023-01-21,0.3687
2023-01-22,0.3764
2023-01-23,0.375
2023-01-24,0.3587
2023-01-25,0.3732
2023-01-26,0.3796
2023-01-27,0.3898
2023-01-28,0.3819
2023-01-29,0.3975
2023-01-30,0.3725
2023-01-31,0.3902
2023-02-01,0.397
2023-02-02,0.3981
2023-02-03,0.4038
2023-02-04,0.3994
2023-02-05,0.3923
2023-02-06,0.3823
2023-02-07,0.3989
2023-02-08,0.3942
2023-02-09,0.3622
2023-02-10,0.3581
2023-02-11,0.3684
2023-02-12,0.3641
2023-02-13,0.3593
2023-02-14,0.3867
2023-02-15,0.419
2023-02-16,0.3874
2023-02-17,0.4033
2023-02-18,0.406
2023-02-19,0.3995
2023-02-20,0.4038
2023-02-21,0.3925
2023-02-22,0.3888
2023-02-23,0.3824
2023-02-24,0.3658
2023-02-25,0.362
2023-02-26,0.3691
2023-02-27,0.3647
2023-02-28,0.3517
2023-03-01,0.3601
2023-03-02,0.3504
2023-03-03,0.3431
2023-03-04,0.3366
2023-03-05,0.337
2023-03-06,0.3305
2023-03-07,0.3306
2023-03-08,0.3175
2023-03-09,0.3101
2023-03-10,0.3149
2023-03-11,0.3051
2023-03-12,0.3298
2023-03-13,0.3433
2023-03-14,0.3429
2023-03-15,0.3241
2023-03-16,0.3249
2023-03-17,0.3494
2023-03-18,0.3371
2023-03-19,0.3448
2023-03-20,0.3321
2023-03-21,0.3696
2023-03-22,0.3596
2023-03-23,0.3715
2023-03-24,0.3596
2023-03-25,0.3514
2023-03-26,0.3557
2023-03-27,0.3455
2023-03-28,0.3681
2023-03-29,0.3811
2023-03-30,0.3761
2023-03-31,0.3989
2023-04-01,0.3919
2023-04-02,0.3815
2023-04-03,0.3872
2023-04-04,0.3894
2023-04-05,0.3923
2023-04-06,0.3829
2023-04-07,0.3835
2023-04-08,0.3853
2023-04-09,0.3894
2023-04-10,0.3971
2023-04-11,0.4014
2023-04-12,0.4047
2023-04-13,0.4251
2023-04-14,0.4381
2023-04-15,0.4522
2023-04-16,0.4513
2023-04-17,0.4341
2023-04-18,0.4435
2023-04-19,0.4163
2023-04-20,0.4007
2023-04-21,0.3824
2023-04-22,0.3956
2023-04-23,0.3886
2023-04-24,0.3835
2023-04-25,0.3945
2023-04-26,0.4014
2023-04-27,0.4101
2023-04-28,0.4043
2023-04-29,0.4024
2023-04-30,0.3956
2023-05-01,0.3868
2023-05-02,0.3916
2023-05-03,0.394
2023-05-04,0.3873
2023-05-05,0.3942
2023-05-06,0.3787
2023-05-07,0.376
2023-05-08,0.3653
2023-05-09,0.3633
2023-05-10,0.3693
2023-05-11,0.3598
2023-05-12,0.3705
2023-05-13,0.3646
2023-05-14,0.3711
2023-05-15,0.3669
2023-05-16,0.3682
2023-05-17,0.3755
2023-05-18,0.3714
2023-05-19,0.3681
2023-05-20,0.3662
2023-05-21,0.3602
2023-05-22,0.3679
2023-05-23,0.3704
2023-05-24,0.3638
2023-05-25,0.3581
2023-05-26,0.3626
2023-05-27,0.3667
2023-05-28,0.3828
2023-05-29,0.3786
2023-05-30,0.3779
