date,price
2023-01-01,0.07024
2023-01-02,0.0714
2023-01-03,0.07049
2023-01-04,0.07311
2023-01-05,0.07152
2023-01-06,0.07241
2023-01-07,0.07219
2023-01-08,0.07363
2023-01-09,0.07566
2023-01-10,0.07782
2023-01-11,0.07814
2023-01-12,0.08025
2023-01-13,0.0845
2023-01-14,0.08729
2023-01-15,0.08608
2023-01-16,0.08368
2023-01-17,0.08285
2023-01-18,0.08
2023-01-19,0.08161
2023-01-20,0.08617
2023-01-21,0.08467
2023-01-22,0.08824
2023-01-23,0.08851
2023-01-24,0.08392
2023-01-25,0.08654
2023-01-26,0.08633
2023-01-27,0.08723
2023-01-28,0.08773
2023-01-29,0.09009
2023-01-30,0.08837
2023-01-31,0.09612
2023-02-01,0.09403
2023-02-02,0.09099
2023-02-03,0.09293
2023-02-04,0.09567
2023-02-05,0.09203
2023-02-06,0.08955
2023-02-07,0.09253
2023-02-08,0.09018
2023-02-09,0.08144
2023-02-10,0.08089
2023-02-11,0.08225
2023-02-12,0.08215
2023-02-13,0.08209
2023-02-14,0.0836
2023-02-15,0.08928
2023-02-16,0.08489
2023-02-17,0.08771
2023-02-18,0.08882
2023-02-19,0.08697
2023-02-20,0.08829
2023-02-21,0.08546
2023-02-22,0.0855
2023-02-23,0.08425
2023-02-24,0.08092
2023-02-25,0.08075
2023-02-26,0.08216
2023-02-27,0.08136
2023-02-28,0.08085
2023-03-01,0.08193
2023-03-02,0.08056
2023-03-03,0.07684
2023-03-04,0.07462
2023-03-05,0.07474
2023-03-06,0.07479
2023-03-07,0.07407
2023-03-08,0.07112
2023-03-09,0.06595
2023-03-10,0.06572
2023-03-11,0.06604
2023-03-12,0.07051
2023-03-13,0.07279
2023-03-14,0.07456
2023-03-15,0.06963
2023-03-16,0.07256
2023-03-17,0.07642
2023-03-18,0.07295
2023-03-19,0.0745
2023-03-20,0.07137
2023-03-21,0.0766
2023-03-22,0.07385
2023-03-23,0.07736
2023-03-24,0.07453
2023-03-25,0.07402
2023-03-26,0.07436
2023-03-27,0.07287
2023-03-28,0.07381
2023-03-29,0.07557
2023-03-30,0.07422
2023-03-31,0.07695
2023-04-01,0.08181
2023-04-02,0.07903
2023-04-03,0.096
2023-04-04,0.09512
2023-04-05,0.09267
2023-04-06,0.08541
2023-04-07,0.08222
2023-04-08,0.08134
2023-04-09,0.08318
2023-04-10,0.08473
2023-04-11,0.08408
2023-04-12,0.08346
2023-04-13,0.08729
2023-04-14,0.08866
2023-04-15,0.08888
2023-04-16,0.09043
2023-04-17,0.09137
2023-04-18,0.09411
2023-04-19,0.08788
2023-04-20,0.08389
2023-04-21,0.07842
2023-04-22,0.08028
2023-04-23,0.07878
2023-04-24,0.07873
2023-04-25,0.07976
2023-04-26,0.07859
2023-04-27,0.08014
2023-04-28,0.08033
2023-04-29,0.08157
2023-04-30,0.07951
2023-05-01,0.07882
2023-05-02,0.07876
2023-05-03,0.07962
2023-05-04,0.07838
2023-05-05,0.08017
2023-05-06,0.07672
2023-05-07,0.07652
2023-05-08,0.07239
2023-05-09,0.0731
2023-05-10,0.07312
2023-05-11,0.07193
2023-05-12,0.07235
2023-05-13,0.07167
2023-05-14,0.07196
2023-05-15,0.07191
2023-05-16,0.07275
2023-05-17,0.07483
2023-05-18,0.07344
2023-05-19,0.0735
2023-05-20,0.07361
2023-05-21,0.07212
2023-05-22,0.07291
2023-05-23,0.07289
2023-05-24,0.07064
2023-05-25,0.07088
2023-05-26,0.07097
2023-05-27,0.07255
2023-05-28,0.07352
2023-05-29,0.07313
2023-05-30,0.07231
2023-05-31,0.07165
2023-06-01,0.07142
2023-06-02,0.07256
2023-06-03,0.0727
2023-06-04,0.07249
2023-06-05,0.0664
2023-06-06,0.07025
2023-06-07,0.06728
2023-06-08,0.06796
2023-06-09,0.06947
2023-06-10,0.06175
2023-06-11,0.06151
2023-06-12,0.06143
2023-06-13,0.06175
2023-06-14,0.06038
2023-06-15,0.06153
2023-06-16,0.06219
2023-06-17,0.0622
2023-06-18,0.06212
2023-06-19,0.06245
2023-06-20,0.06313
2023-06-21,0.06561
2023-06-22,0.06555
2023-06-23,0.06823
2023-06-24,0.06669
2023-06-25,0.06672
2023-06-26,0.06474
2023-06-27,0.06556
2023-06-28,0.06257
2023-06-29,0.06342
2023-06-30,0.06646
2023-07-01,0.06851
2023-07-02,0.06801
2023-07-03,0.06845
2023-07-04,0.0689
2023-07-05,0.06701
2023-07-06,0.06485
2023-07-07,0.0654
2023-07-08,0.06573
2023-07-09,0.06536
2023-07-10,0.06523
2023-07-11,0.06528
2023-07-12,0.06503
2023-07-13,0.07042
2023-07-14,0.06849
2023-07-15,0.07197
2023-07-16,0.06952
2023-07-17,0.06982
2023-07-18,0.06866
2023-07-19,0.07003
2023-07-20,0.07062
2023-07-21,0.07322
2023-07-22,0.07047
2023-07-23,0.0718
2023-07-24,0.0742
2023-07-25,0.08185
2023-07-26,0.07793
2023-07-27,0.07761
2023-07-28,0.07717
2023-07-29,0.08023
2023-07-30,0.07802
2023-07-31,0.07786
2023-08-01,0.07815
2023-08-02,0.07422
2023-08-03,0.07358
2023-08-04,0.07347
2023-08-05,0.07571
2023-08-06,0.07427
2023-08-07,0.07354
2023-08-08,0.07496
2023-08-09,0.07541
2023-08-10,0.07588
2023-08-11,0.07574
2023-08-12,0.0767
2023-08-13,0.07479
2023-08-14,0.07469
2023-08-15,0.07093
2023-08-16,0.06717
2023-08-17,0.06102
2023-08-18,0.06326
2023-08-19,0.06379
2023-08-20,0.06384
2023-08-21,0.06252
2023-08-22,0.06259
2023-08-23,0.06379
2023-08-24,0.06308
2023-08-25,0.06312
2023-08-26,0.06289
2023-08-27,0.06318
2023-08-28,0.06345
2023-08-29,0.0664
2023-08-30,0.06588
2023-08-31,0.06376
2023-09-01,0.06388
2023-09-02,0.06348
2023-09-03,0.06317
2023-09-04,0.06326
2023-09-05,0.06402
2023-09-06,0.06365
2023-09-07,0.06365
2023-09-08,0.06371
2023-09-09,0.06339
2023-09-10,0.0613
2023-09-11,0.06049
2023-09-12,0.0609
2023-09-13,0.06126
