date,price
2024-08-08,6.218
2024-08-09,6.619
2024-08-10,6.673
2024-08-11,6.21
2024-08-12,6.27
2024-08-13,6.456
2024-08-14,6.89
2024-08-15,6.597
2024-08-16,6.538
2024-08-17,6.438
2024-08-18,6.887
2024-08-19,6.832
2024-08-20,6.664
2024-08-21,6.496
2024-08-22,6.504
2024-08-23,6.7
2024-08-24,5.927
2024-08-25,5.77
2024-08-26,5.132
2024-08-27,5.438
2024-08-28,5.521
2024-08-29,5.454
2024-08-30,5.371
2024-08-31,5.42
2024-09-01,5.184
2024-09-02,5.219
2024-09-03,4.889
2024-09-04,4.625
2024-09-05,4.81
2024-09-06,4.656
2024-09-07,4.67
2024-09-08,4.896
2024-09-09,5.219
2024-09-10,5.529
2024-09-11,5.389
2024-09-12,5.583
2024-09-13,5.781
2024-09-14,5.676
2024-09-15,5.554
2024-09-16,5.485
2024-09-17,5.522
2024-09-18,5.641
2024-09-19,5.683
2024-09-20,5.585
2024-09-21,5.673
2024-09-22,5.62
2024-09-23,5.64
2024-09-24,5.616
2024-09-25,5.736
2024-09-26,5.792
2024-09-27,5.981
2024-09-28,5.885
2024-09-29,5.847
2024-09-30,5.708
2024-10-01,5.378
2024-10-02,5.29
2024-10-03,5.332
2024-10-04,5.401
2024-10-05,5.234
2024-10-06,5.315
2024-10-07,5.198
2024-10-08,5.199
2024-10-09,5.066
2024-10-10,5.138
2024-10-11,5.209
2024-10-12,5.241
2024-10-13,5.192
2024-10-14,5.323
2024-10-15,5.224
2024-10-16,5.227
2024-10-17,5.183
2024-10-18,5.25
2024-10-19,5.267
2024-10-20,5.358
2024-10-21,5.194
2024-10-22,5.223
2024-10-23,5.14
2024-10-24,5.128
2024-10-25,4.776
2024-10-26,4.925
2024-10-27,4.997
2024-10-28,5.017
2024-10-29,5.02
2024-10-30,4.989
2024-10-31,4.846
2024-11-01,4.894
2024-11-02,4.874
2024-11-03,4.818
2024-11-04,4.699
2024-11-05,4.668
2024-11-06,4.796
2024-11-07,4.908
2024-11-08,4.925
2024-11-09,5.241
2024-11-10,5.274
2024-11-11,5.497
2024-11-12,5.469
2024-11-13,5.258
2024-11-14,5.236
2024-11-15,5.381
2024-11-16,5.648
2024-11-17,5.383
2024-11-18,5.576
2024-11-19,5.447
2024-11-20,5.289
2024-11-21,5.507
2024-11-22,5.45
2024-11-23,6.313
2024-11-24,6.151
2024-11-25,6.079
2024-11-26,6.136
2024-11-27,6.372
2024-11-28,6.436
2024-11-29,6.45
2024-11-30,6.821
2024-12-01,6.836
2024-12-02,6.568
2024-12-03,6.773
2024-12-04,6.896
2024-12-05,6.793
2024-12-06,6.798
2024-12-07,6.796
2024-12-08,6.78
2024-12-09,5.778
2024-12-10,5.938
2024-12-11,6.342
2024-12-12,6.343
2024-12-13,6.33
2024-12-14,6.25
2024-12-15,6.391
2024-12-16,6.059
2024-12-17,5.822
2024-12-18,5.438
2024-12-19,5.2
2024-12-20,5.45
2024-12-21,5.311
2024-12-22,5.381
2024-12-23,5.597
2024-12-24,5.797
2024-12-25,5.948
2024-12-26,5.733
2024-12-27,5.734
2024-12-28,5.813
2024-12-29,5.634
2024-12-30,5.581
2024-12-31,5.509
